Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
Marcus Semien,MLB-AL,Oakland,0,Houston,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Richie Shaffer,MLB-AL,Tampa Bay,0,New York,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Travis Shaw,MLB-AL,Boston,1,Baltimore,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
JB Shuck,MLB-AL,Chicago,1,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Andrelton Simmons,MLB-AL,Los Angeles,1,Texas,1,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Mallex Smith,MLB-NL,Atlanta,1,New York,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Smith,MLB-AL,Seattle,0,Toronto,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Justin Smoak,MLB-AL,Toronto,1,Seattle,1,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Jake Smolinski,MLB-AL,Oakland,0,Houston,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Donovan Solano,MLB-AL,New York,1,Tampa Bay,1,5,5,2,3,1,0,1,2,0,0,1,0,0,0,0,0,0
Denard Span,MLB-NL,San Francisco,1,Los Angeles,1,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
George Springer,MLB-AL,Houston,1,Oakland,1,5,5,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0
Robert Stephenson,MLB-NL,Cincinnati,1,Chicago,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eugenio Suarez,MLB-NL,Cincinnati,1,Chicago,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus Sucre,MLB-AL,Seattle,0,Toronto,1,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Susac,MLB-NL,Milwaukee,0,Pittsburgh,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ichiro Suzuki,MLB-NL,Miami,0,Washington,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Dansby Swanson,MLB-NL,Atlanta,1,New York,1,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Raimel Tapia,MLB-NL,Colorado,0,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Teixeira,MLB-AL,New York,1,Tampa Bay,1,5,4,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Andrew Toles,MLB-NL,Los Angeles,0,San Francisco,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Yasmany Tomas,MLB-NL,Arizona,1,San Diego,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelby Tomlinson,MLB-NL,San Francisco,1,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Torreyes,MLB-AL,New York,1,Tampa Bay,1,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Devon Travis,MLB-AL,Toronto,1,Seattle,1,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mike Trout,MLB-AL,Los Angeles,1,Texas,1,5,4,1,1,0,0,1,3,1,0,1,0,0,0,0,0,1
Mark Trumbo,MLB-AL,Baltimore,0,Boston,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Tulowitzki,MLB-AL,Toronto,1,Seattle,1,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Justin Turner,MLB-NL,Los Angeles,0,San Francisco,1,4,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Trea Turner,MLB-NL,Washington,1,Miami,1,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Melvin Upton Jr.,MLB-AL,Toronto,1,Seattle,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pat Valaika,MLB-NL,Colorado,0,St. Louis,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Valencia,MLB-AL,Oakland,0,Houston,1,4,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Jonathan Villar,MLB-NL,Milwaukee,0,Pittsburgh,1,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Stephen Vogt,MLB-AL,Oakland,0,Houston,1,5,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Joey Votto,MLB-NL,Cincinnati,1,Chicago,1,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Luke Weaver,MLB-NL,St. Louis,1,Colorado,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Weber,MLB-NL,Atlanta,1,New York,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Joey Wendle,MLB-AL,Oakland,0,Houston,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jayson Werth,MLB-NL,Washington,1,Miami,1,5,4,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
Matt Wieters,MLB-AL,Baltimore,0,Boston,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mason Williams,MLB-AL,New York,1,Tampa Bay,1,5,5,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0
Mac Williamson,MLB-NL,San Francisco,1,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bobby Wilson,MLB-AL,Tampa Bay,0,New York,1,3,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Kolten Wong,MLB-NL,St. Louis,1,Colorado,1,3,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Christian Yelich,MLB-NL,Miami,0,Washington,1,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Ryan Zimmerman,MLB-NL,Washington,1,Miami,1,4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0
