Date,VH,Team,Pitcher,Open
2017-04-19,H,TAM,CARCHER-R,-167
2017-04-19,V,LAA,JRAMIREZ-R,160
2017-04-19,H,HOU,DKEUCHEL-L,-180
2017-04-19,V,MIA,EVOLQUEZ-R,140
2017-04-19,H,SEA,FHERNANDEZ-R,-155
2017-04-19,V,BAL,UJIMENEZ-R,-120
2017-04-19,H,CIN,AGARRETT-L,110
2017-04-19,V,SFO,MBUMGARNER-L,-140
2017-04-19,H,KAN,JVARGAS-L,125
2017-04-20,V,WAS,SSTRASBURG-R,-166
2017-04-20,H,ATL,RDICKEY-R,146
2017-04-20,V,PHI,ANOLA-R,155
2017-04-20,H,NYM,NSYNDERGAARD-R,-175
2017-04-20,V,STL,CMARTINEZ-R,-132
2017-04-20,H,MIL,ZDAVIES-R,117
2017-04-20,V,ARI,PCORBIN-L,-110
2017-04-20,H,SDG,CRICHARD-L,100
2017-04-20,V,BOS,CSALE-L,-136
2017-04-20,H,TOR,MESTRADA-R,121
2017-04-20,V,CLE,TBAUER-R,-141
2017-04-20,H,MIN,ESANTANA-R,126
2017-04-20,V,DET,DNORRIS-L,-105
2017-04-20,H,TAM,ERAMIREZ-R,-105
2017-04-20,V,KAN,DDUFFY-L,-125
2017-04-20,H,TEX,ACASHNER-R,110
2017-04-20,V,LAA,MSHOEMAKER-R,151
2017-04-20,H,HOU,LMCCULLERS-R,-171
2017-04-20,V,SEA,JPAXTON-L,-175
2017-04-20,H,OAK,CVALDEZ-R,155
2017-04-20,V,BAL,WMILEY-L,-126
2017-04-20,H,CIN,SFELDMAN-R,111
2017-04-21,V,ATL,BCOLON-R,111
2017-04-21,H,PHI,JHELLICKSON-R,-126
2017-04-21,V,WAS,TROARK-R,130
2017-04-21,H,NYM,MHARVEY-R,-145
2017-04-21,V,CUB,JLESTER-L,-166
2017-04-21,H,CIN,TADLEMAN-R,146
2017-04-21,V,STL,AWAINWRIGHT-R,100
2017-04-21,H,MIL,WPERALTA-R,-110
2017-04-21,V,SFO,JCUETO-R,-106
