Date,Team,PITCHER
2019-04-15,CUB,Darvish
2019-04-15,MIA,Richards
2019-04-15,STL,Hudson
2019-04-15,MIL,Peralta
2019-04-15,CIN,Castillo
2019-04-15,LAD,Kershaw
2019-04-15,COL,Senzatela
2019-04-15,SDG,Lucchesi
2019-04-15,BAL,Straily
2019-04-15,BOS,Velazquez
2019-04-15,TOR,Shoemaker
2019-04-15,MIN,Perez
2019-04-15,LAA,Cahill
2019-04-15,TEX,Miller
2019-04-15,KAN,Fillmyer
2019-04-15,CWS,Santana
2019-04-15,CLE,Bauer
2019-04-15,SEA,Kikuchi
2019-04-16,NYM,Matz
2019-04-16,PHI,Pivetta
2019-04-16,SFO,Rodriguez
2019-04-16,WAS,Strasburg
2019-04-16,CUB,Quintana
2019-04-16,MIA,Lopez
2019-04-16,ARI,Ray
2019-04-16,ATL,Fried
2019-04-16,STL,Flaherty
2019-04-16,MIL,Woodruff
2019-04-16,COL,Gray
2019-04-16,SDG,Margevicius
2019-04-16,CIN,Mahle
2019-04-16,LAD,Maeda
2019-04-16,BOS,Sale
2019-04-16,NYY,Paxton
2019-04-16,BAL,Bundy
2019-04-16,TAM,Glasnow
2019-04-16,TOR,Sanchez
2019-04-16,MIN,Gibson
2019-04-16,LAA,Barria
2019-04-16,TEX,Minor
2019-04-16,KAN,Lopez
2019-04-16,CWS,Lopez
2019-04-16,HOU,Mchugh
2019-04-16,OAK,Estrada
2019-04-16,CLE,Bieber
2019-04-16,SEA,Leake
2019-04-16,PIT,Musgrove
2019-04-16,DET,Boyd
2019-04-17,NYM,Wheeler
2019-04-17,PHI,Arrieta
2019-04-17,STL,Wacha
2019-04-17,MIL,Burnes
2019-04-17,CIN,Gray
2019-04-17,LAD,Buehler
2019-04-17,SFO,Samardzija
2019-04-17,WAS,Hellickson
2019-04-17,CUB,Hamels
2019-04-17,MIA,Alcantara
2019-04-17,ARI,Godley
2019-04-17,ATL,Gausman
2019-04-17,KAN,Keller
2019-04-17,CWS,Giolito
2019-04-17,BOS,Eovaldi
2019-04-17,NYY,Happ
2019-04-17,CLE,Carrasco
2019-04-17,SEA,Swanson
2019-04-17,BAL,Hess
2019-04-17,TAM,Stanek
2019-04-17,TOR,Thornton
2019-04-17,MIN,Odorizzi
2019-04-17,LAA,Harvey
2019-04-17,TEX,Lynn
2019-04-17,HOU,Miley
2019-04-17,OAK,Montas
2019-04-17,PIT,Williams
2019-04-17,DET,Turnbull
2019-04-18,ARI,Weaver
2019-04-18,ATL,Soroka
2019-04-18,SFO,Pomeranz
2019-04-18,WAS,Corbin
2019-04-18,LAD,Urias
2019-04-18,MIL,Davies
2019-04-18,PHI,Eflin
2019-04-18,COL,Freeland
2019-04-18,CIN,Roark
2019-04-18,SDG,Paddack
2019-04-18,CWS,Nova
2019-04-18,DET,Ross
2019-04-18,TOR,Buchholz
2019-04-18,MIN,Pineda
2019-04-18,KAN,Bailey
2019-04-18,NYY,German
2019-04-18,BAL,Cashner
2019-04-18,TAM,Wood
2019-04-18,SEA,Hernandez
2019-04-18,LAA,Stratton
2019-04-19,ARI,Kelly
2019-04-19,CUB,Hendricks
2019-04-19,SFO,Bumgarner
2019-04-19,PIT,Lyles
2019-04-19,WAS,Sanchez
2019-04-19,MIA,Smith
2019-04-19,LAD,Stripling
2019-04-19,MIL,Chacin
2019-04-19,NYM,Vargas
2019-04-19,STL,Wainwright
2019-04-19,PHI,Velasquez
2019-04-19,COL,Marquez
2019-04-19,CIN,Desclafani
2019-04-19,SDG,Strahm
2019-04-19,KAN,Junis
2019-04-19,NYY,Sabathia
2019-04-19,CWS,Rodon
2019-04-19,DET,Zimmermann
2019-04-19,BOS,Rodriguez
2019-04-19,TAM,Stanek
2019-04-19,HOU,Verlander
2019-04-19,TEX,Smyly
2019-04-19,SEA,Gonzales
2019-04-19,LAA,Pena
2019-04-19,TOR,Stroman
2019-04-19,OAK,Brooks
2019-04-20,NYM,Flexen
2019-04-20,STL,Mikolas
2019-04-20,ARI,Greinke
2019-04-20,CUB,Darvish
2019-04-20,SFO,Holland
2019-04-20,PIT,Taillon
2019-04-20,WAS,Scherzer
2019-04-20,MIA,Urena
2019-04-20,LAD,Ryu
2019-04-20,MIL,Ndecid
2019-04-20,PHI,Nola
2019-04-20,COL,Senzatela
2019-04-20,CIN,Castillo
